source,target,edge
old Turkana woman,130  incident,killed
Mandera Causalities,Mandera Mandera,unknown
four Wajir people,board,killed
seven  men,such Nyayo National Stadium,Langata
increased water They,Nakuru boulders,size
when  it,bus,size
suspected Pokot militia,two Baringo brothers,attacked
40  head,local Arabal residents,unknown
peaceful Mombasa residents,successfully lead smelting factory,size
new boat Police,Coast Guard situation,size
2  others,incident,killed
3  men,allegedly Trans Nzoia house,size
year Day Saints suspect,later  police,size
13  others,public Mandera Arabia road,size
13,public Mandera town,killed
two  others,40  incident,injured
suspected Pokot pastoralists,23 Laikipia sheep,raided
Two Wajir children,incident,injured during
one police militia,two food ammunition,made
old witchcraft victim,unhurt,size
40  Casualities,40  Nairobi,unknown
Two Mochongoi people,critically  incident,injured during
two Nairobi Police,them,size
2022 boda boda drivers,ongoing voter registration process,size
lower Elgeyo Marakwet motive,killing,remains unknown
Police reservists,together  attackers,managed
two Elgeyo Marakwet motive,killing,remains unknown
Mukogodo Laikipia militia,rifle,were
elder Nandi suspect,later  police,size
suspected pokot pastoralist militias,unknown livestock stolen,killed
organized Kitui Police,suspects,size
2022  hundreds,UDA United Democratic rally,hundreds
Two court officials,incident,injured during
One Elgeyo Marakwet person,incident,killed during
Managing Police,30  demonstrators,size
Sudanese  refugees,allegedly Kakuma refugee camp,West
one  another,ensuing bullet melee,size
bombing Muranga they,bombing Muranga her,size
Three Laikipia houses,50  incident,burnt
al Shabaab al militants,8 Lamu trucks,burning
31 road protesters,compensation,size
local  residents,allegedly Machakos cow,size
elderly Siaya They,thieves,size
nearby Apuoyo Secondary suspect,police,size
2022  students,later Mombasa injuries,size
elderly Isiolo suspects,later  police,size
suspected Baringo Casualties,suspected Kapedo village,unknown
2022  mob,Democratic Movement Orange Democratic ticket,size
2022  mob,Democratic Movement Orange Democratic ticket,size
three  others,Sudanese  raiders,killed
victim,Mboya Street Tom Mboya town,size
Police,tear  crowd,size
hopeful police Police,tear  group,size
wild  animals,Kenya Wildlife losses,size
Pokot pastoralist Pokot militia,10 Baringo families,were
Embu one,incident,size=58
2022  parents,road primary Murang'a road Ngara,size
15 Al Shabaab,responsibility,claimed
developers,land,size
2022 Gichami church worshipers,marital John Gichami Othaya,size
three Kiambu suspects,police,size
Police,group,size
planned payment arrears They,national  government,size
unknown  number,militants,managed
Several Mochongoi houses,many  area,torched
Education Cabinet that,lesbian boarding Kenya,size
20  inmates,incident,size
job attempts,company police,size
Revenue Authority He,Revenue Authority officials,size
2022  women,aspiring United Democratic Alliance,size
local  residents,peripheral Namanga road,size
county which,speedy  incident,size
2  police,them,West
central business Starehe,alleged land neighbor,size
infrastructural  police,report,stepped
peripheral Namanga demonstrators,transport town,size
pastoral  militia,242 Baringo goats,were
Ugenya Siaya This,alleged police custody,size
2022  villagers,week Nyamanga Nyawita,size
local  women,security security area,size
increased Lamu Police,demonstrators,size
Liboi Garissa militants,slain AK47 officers,took
2022  section,increased Meru Isiolo border,size
allegedly Mahiu Limuru Police,suspect,size
six Nyamira mob,witchcraft,size
